complex_id,month,lawd_code5,property_type,area_bucket,median_price,weighted_price,trade_count,rent_count,jeonse_median,jeonse_ratio,drawdown_from_high,transaction_heat,reacceleration_score,liquidity_score,leader_score
27260|청구전원타운|apartment|74,2026-02,27260,apartment,74,0.0,0.0,0.0,0.0,20000000.0,0.0,0.0,0.0,1.0,0.0,10.224438902743142
27260|청구전원타운|apartment|74,2026-03,27260,apartment,74,0.0,0.0,0.0,1.0,180000000.0,0.0,0.0,0.0,1.0,0.0,8.859223300970873
27260|청구전원타운|apartment|74,2026-04,27260,apartment,74,254000000.0,254000000.0,2.0,0.0,180000000.0,70.86614173228347,0.0,2.0,1.0,100.0,55.172413793103445
27260|청구전원타운|apartment|84,2026-01,27260,apartment,84,0.0,0.0,0.0,1.0,180000000.0,0.0,0.0,0.0,1.0,0.0,17.142857142857142
27260|청구전원타운|apartment|over_101,2026-01,27260,apartment,over_101,0.0,0.0,0.0,1.0,30000000.0,0.0,0.0,0.0,1.0,0.0,17.142857142857142
27260|청구전원타운|apartment|over_101,2026-02,27260,apartment,over_101,438500000.0,438500000.0,2.0,0.0,30000000.0,6.841505131128849,0.0,2.0,1.0,66.66666666666666,62.094763092269325
27260|청구전원타운|apartment|over_101,2026-03,27260,apartment,over_101,438500000.0,438500000.0,0.0,0.0,30000000.0,6.841505131128849,0.0,0.0,1.0,66.66666666666666,60.19417475728155
27260|청구전원타운|apartment|over_101,2026-04,27260,apartment,over_101,380000000.0,409250000.0,1.0,0.0,30000000.0,7.330482590103848,-6.67046750285063,1.5,0.5,100.0,69.3711967545639
27260|청구전원타운|apartment|unknown,2026-04,27260,apartment,unknown,0.0,0.0,0.0,2.0,155000000.0,0.0,0.0,0.0,1.0,0.0,20.99391480730223
27260|청구중동|apartment|59,2026-04,27260,apartment,59,0.0,0.0,0.0,1.0,5000000.0,0.0,0.0,0.0,1.0,0.0,20.99391480730223
27260|청구중동|apartment|unknown,2026-04,27260,apartment,unknown,0.0,0.0,0.0,1.0,5000000.0,0.0,0.0,0.0,1.0,0.0,20.99391480730223
27260|청구타운|apartment|59,2026-01,27260,apartment,59,180000000.0,180000000.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,100.0,41.714285714285715
27260|청구타운|apartment|59,2026-02,27260,apartment,59,180000000.0,180000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,29.42643391521197
27260|청구타운|apartment|59,2026-03,27260,apartment,59,180000000.0,180000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,27.305825242718445
27260|청구타운|apartment|59,2026-04,27260,apartment,59,212000000.0,196000000.0,1.0,1.0,95000000.0,48.46938775510204,0.0,1.0,0.3333333333333333,33.33333333333333,48.782961460446245
27260|청구타운|apartment|84,2026-01,27260,apartment,84,0.0,0.0,0.0,1.0,180000000.0,0.0,0.0,0.0,1.0,0.0,17.142857142857142
27260|청구타운|apartment|84,2026-02,27260,apartment,84,233500000.0,233500000.0,2.0,1.0,10000000.0,4.282655246252676,0.0,2.0,1.0,28.57142857142857,36.15960099750624
27260|청구타운|apartment|84,2026-03,27260,apartment,84,229000000.0,231250000.0,4.0,2.0,95000000.0,41.08108108108108,-0.9635974304068484,4.0,1.0,85.71428571428571,33.980582524271846
27260|청구타운|apartment|84,2026-04,27260,apartment,84,247000000.0,239125000.0,1.0,1.0,150000000.0,62.72869837950863,0.0,0.5,2.5,100.0,52.129817444219064
27260|청구타운|apartment|over_101,2026-01,27260,apartment,over_101,0.0,0.0,0.0,1.0,270000000.0,0.0,0.0,0.0,1.0,0.0,17.142857142857142
27260|청구타운|apartment|over_101,2026-02,27260,apartment,over_101,0.0,0.0,0.0,1.0,20000000.0,0.0,0.0,0.0,1.0,0.0,10.224438902743142
27260|청구타운|apartment|over_101,2026-03,27260,apartment,over_101,355000000.0,355000000.0,1.0,0.0,20000000.0,5.633802816901409,0.0,1.0,1.0,50.0,50.970873786407765
27260|청구타운|apartment|over_101,2026-04,27260,apartment,over_101,290000000.0,322500000.0,1.0,0.0,20000000.0,6.2015503875969,-9.154929577464788,3.0,1.0,100.0,61.05476673427992
27260|청구타운|apartment|unknown,2026-04,27260,apartment,unknown,0.0,0.0,0.0,2.0,122500000.0,0.0,0.0,0.0,1.0,0.0,20.99391480730223
27260|청구하이츠|apartment|59,2026-01,27260,apartment,59,0.0,0.0,0.0,1.0,5000000.0,0.0,0.0,0.0,1.0,0.0,17.142857142857142
27260|청구호반맨션|apartment|84,2026-02,27260,apartment,84,0.0,0.0,0.0,1.0,160000000.0,0.0,0.0,0.0,1.0,0.0,10.224438902743142
27260|청구호반맨션|apartment|84,2026-03,27260,apartment,84,222500000.0,222500000.0,1.0,0.0,160000000.0,71.91011235955057,0.0,1.0,1.0,100.0,32.40291262135923
27260|청구호반맨션|apartment|over_101,2026-01,27260,apartment,over_101,238000000.0,238000000.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,46.57142857142857
27260|청림리더스103동|apartment|84,2026-02,27260,apartment,84,185000000.0,185000000.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,30.049875311720697
27260|청아타운|apartment|84,2026-01,27260,apartment,84,201500000.0,201500000.0,2.0,1.0,150000000.0,74.44168734491315,0.0,2.0,1.0,25.0,43.142857142857146
27260|청아타운|apartment|84,2026-02,27260,apartment,84,220000000.0,210750000.0,3.0,1.0,170000000.0,80.66429418742585,0.0,1.5,1.0,62.5,32.16957605985037
27260|청아타운|apartment|84,2026-03,27260,apartment,84,206500000.0,208625000.0,2.0,3.0,150000000.0,71.8993409227082,-1.0083036773428256,0.8,1.25,87.5,30.097087378640776
27260|청아타운|apartment|84,2026-04,27260,apartment,84,205000000.0,206812500.0,3.0,1.0,175000000.0,84.61770927772741,-1.868327402135228,1.2857142857142856,1.0,100.0,49.69574036511156
27260|청아타운|apartment|over_101,2026-01,27260,apartment,over_101,300000000.0,300000000.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,50.0,54.142857142857146
